127.0.0.1 - - [18/Oct/2013:22:00:56 -0500] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:01:36 -0500] "GET /Sistema_de_Pruebas_Academicas/panel.jsp HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/index.jsp HTTP/1.1" 200 1400
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 200 61884
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 200 106006
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:09 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 200 92629
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:10 -0500] "GET /Sistema_de_Pruebas_Academicas/img/inicio.png HTTP/1.1" 200 65986
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:10 -0500] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:19 -0500] "POST /Sistema_de_Pruebas_Academicas/LoginIngreso HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:20 -0500] "GET /Sistema_de_Pruebas_Academicas/img/glyphicons-halflings.png HTTP/1.1" 200 12799
0:0:0:0:0:0:0:1 - - [18/Oct/2013:22:02:20 -0500] "GET /favicon.ico HTTP/1.1" 404 983
