127.0.0.1 - - [01/Jul/2015:20:47:07 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/ HTTP/1.1" 200 1678
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap-responsive.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/normalize.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/img/inicio.png HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/ HTTP/1.1" 200 1678
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/css/bootstrap-responsive.min.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jul/2015:20:47:08 -0500] "GET /Sistema_de_Pruebas_Academicas/js/scripts.js HTTP/1.1" 304 -
